Date,Channel,Sessions,Pageviews,Conversions,Revenue
2024-01-01,Organic Search,2705,7996,40,3331.44
2024-01-01,Direct,1545,4350,23,1933.92
2024-01-01,Referral,154,409,3,267.56
2024-01-01,Email,618,1716,15,1248.7
2024-01-01,Paid Search,2060,4796,56,4746.36
2024-01-01,Paid Social,1790,4009,37,3171.56
2024-01-02,Organic Search,3188,8364,47,4151.94
2024-01-02,Direct,1821,5324,27,2175.6
2024-01-02,Referral,182,482,4,350.0
2024-01-02,Email,728,1735,18,1480.45
2024-01-02,Paid Search,2498,5702,69,5755.84
2024-01-02,Paid Social,1777,4514,37,3295.97
2024-01-03,Organic Search,2642,5891,39,3242.47
2024-01-03,Direct,1509,4492,22,1795.47
2024-01-03,Referral,150,363,3,247.5
2024-01-03,Email,603,1493,15,1238.33
2024-01-03,Paid Search,2352,5765,65,5384.88
2024-01-03,Paid Social,1085,2941,19,1619.65
2024-01-04,Organic Search,2195,4618,32,2618.72
2024-01-04,Direct,1254,2987,18,1538.08
2024-01-04,Referral,125,338,3,261.25
2024-01-04,Email,501,1134,12,1006.62
2024-01-04,Paid Search,2012,5060,57,4800.16
2024-01-04,Paid Social,864,2113,18,1436.97
2024-01-05,Organic Search,2131,4689,31,2593.12
2024-01-05,Direct,1218,3165,18,1532.0
2024-01-05,Referral,121,346,3,278.52
2024-01-05,Email,487,1172,12,990.0
2024-01-05,Paid Search,1381,3764,42,3612.24
2024-01-05,Paid Social,974,2656,19,1637.73
2024-01-06,Organic Search,2048,5104,30,2548.08
2024-01-06,Direct,1170,2671,17,1500.16
2024-01-06,Referral,117,309,2,164.84
2024-01-06,Email,468,1150,11,1001.31
2024-01-06,Paid Search,1213,3071,36,3102.73
2024-01-06,Paid Social,838,1992,17,1429.03
2024-01-07,Organic Search,2041,4511,30,2675.64
2024-01-07,Direct,1166,3135,17,1526.82
2024-01-07,Referral,116,315,2,169.41
2024-01-07,Email,466,1055,11,915.13
2024-01-07,Paid Search,1563,3356,39,3207.25
2024-01-07,Paid Social,1156,2988,22,1866.85
2024-01-08,Organic Search,3034,7114,45,3727.98
2024-01-08,Direct,1733,4809,25,2226.68
2024-01-08,Referral,173,452,4,329.33
2024-01-08,Email,693,1598,17,1512.73
2024-01-08,Paid Search,2397,6602,70,5936.65
2024-01-08,Paid Social,1831,5435,35,3023.18
2024-01-09,Organic Search,2819,8200,42,3529.9
2024-01-09,Direct,1610,3507,24,2040.16
2024-01-09,Referral,161,354,4,372.12
2024-01-09,Email,644,1691,16,1397.35
2024-01-09,Paid Search,2117,5622,64,5306.83
2024-01-09,Paid Social,1340,3314,26,2218.61
2024-01-10,Organic Search,2824,6537,42,3512.44
2024-01-10,Direct,1613,4230,24,2005.83
2024-01-10,Referral,161,388,4,362.35
