Date,Campaign,Spend,Clicks,Impressions,Conversions
2024-01-01,Search_Brand,458.33,378,10681,10
2024-01-01,Search_Generic,473.1,390,11025,10
2024-01-01,PerformanceMax_Revenue,810.9,669,18898,18
2024-01-02,Search_Brand,592.71,509,13194,14
2024-01-02,Search_Generic,467.94,402,10417,11
2024-01-02,PerformanceMax_Revenue,784.17,674,17456,18
2024-01-03,Search_Brand,774.5,654,20094,17
2024-01-03,Search_Generic,750.42,633,19470,17
2024-01-03,PerformanceMax_Revenue,618.15,522,16038,14
2024-01-04,Search_Brand,615.61,530,14694,15
2024-01-04,Search_Generic,697.71,601,16654,17
2024-01-04,PerformanceMax_Revenue,634.01,546,15133,15
2024-01-05,Search_Brand,487.71,388,11493,11
2024-01-05,Search_Generic,392.6,312,9252,9
2024-01-05,PerformanceMax_Revenue,513.25,409,12095,12
2024-01-06,Search_Brand,434.27,361,10299,10
2024-01-06,Search_Generic,405.39,337,9614,10
2024-01-06,PerformanceMax_Revenue,494.63,411,11730,12
2024-01-07,Search_Brand,544.29,420,10818,10
2024-01-07,Search_Generic,497.84,384,9895,9
2024-01-07,PerformanceMax_Revenue,595.28,459,11831,11
2024-01-08,Search_Brand,415.83,347,9764,10
2024-01-08,Search_Generic,518.35,432,12171,12
2024-01-08,PerformanceMax_Revenue,579.93,484,13617,13
2024-01-09,Search_Brand,505.91,434,12359,13
2024-01-09,Search_Generic,493.93,424,12066,12
2024-01-09,PerformanceMax_Revenue,516.56,443,12619,13
2024-01-10,Search_Brand,633.83,563,18229,16
2024-01-10,Search_Generic,648.94,577,18663,16
2024-01-10,PerformanceMax_Revenue,627.54,558,18048,15
2024-01-11,Search_Brand,373.93,336,9045,9
2024-01-11,Search_Generic,440.35,396,10652,11
2024-01-11,PerformanceMax_Revenue,649.44,585,15710,17
2024-01-12,Search_Brand,331.15,295,7992,9
2024-01-12,Search_Generic,403.3,359,9733,11
2024-01-12,PerformanceMax_Revenue,455.74,406,10999,12
2024-01-13,Search_Brand,376.0,309,7468,9
2024-01-13,Search_Generic,336.73,277,6688,8
2024-01-13,PerformanceMax_Revenue,450.92,371,8956,10
2024-01-14,Search_Brand,293.88,239,7036,6
2024-01-14,Search_Generic,350.97,286,8403,8
2024-01-14,PerformanceMax_Revenue,405.4,330,9706,9
2024-01-15,Search_Brand,306.34,273,7659,8
