Date,Campaign,Spend,Clicks,Impressions,Conversions
2024-01-01,Prospecting_Lookalike,539.88,637,35521,13
2024-01-01,Retargeting_Catalog,531.69,628,34982,12
2024-01-01,AdvantagePlus_Shopping,688.19,812,45279,16
2024-01-02,Prospecting_Lookalike,600.98,657,39521,13
2024-01-02,Retargeting_Catalog,344.0,376,22622,7
2024-01-02,AdvantagePlus_Shopping,520.46,569,34226,12
2024-01-03,Prospecting_Lookalike,353.0,421,23491,7
2024-01-03,Retargeting_Catalog,230.66,275,15349,4
2024-01-03,AdvantagePlus_Shopping,541.21,646,36015,11
2024-01-04,Prospecting_Lookalike,377.03,448,27589,9
2024-01-04,Retargeting_Catalog,287.37,341,21028,7
2024-01-04,AdvantagePlus_Shopping,434.64,517,31805,10
2024-01-05,Prospecting_Lookalike,411.29,505,28125,9
2024-01-05,Retargeting_Catalog,462.82,568,31648,11
2024-01-05,AdvantagePlus_Shopping,527.35,647,36061,12
2024-01-06,Prospecting_Lookalike,367.37,439,21031,8
2024-01-06,Retargeting_Catalog,311.25,372,17819,7
2024-01-06,AdvantagePlus_Shopping,441.68,528,25286,10
2024-01-07,Prospecting_Lookalike,511.61,655,34414,12
2024-01-07,Retargeting_Catalog,381.06,488,25632,9
2024-01-07,AdvantagePlus_Shopping,621.4,795,41799,15
2024-01-08,Prospecting_Lookalike,634.83,829,44654,15
2024-01-08,Retargeting_Catalog,475.3,621,33432,11
2024-01-08,AdvantagePlus_Shopping,613.23,801,43134,15
2024-01-09,Prospecting_Lookalike,485.5,554,36105,10
2024-01-09,Retargeting_Catalog,372.45,425,27698,8
2024-01-09,AdvantagePlus_Shopping,439.1,501,32655,9
2024-01-10,Prospecting_Lookalike,543.17,695,36373,15
2024-01-10,Retargeting_Catalog,417.69,535,27971,12
2024-01-10,AdvantagePlus_Shopping,763.35,978,51118,22
2024-01-11,Prospecting_Lookalike,704.12,812,42036,16
2024-01-11,Retargeting_Catalog,647.86,747,38678,15
2024-01-11,AdvantagePlus_Shopping,612.84,707,36587,14
2024-01-12,Prospecting_Lookalike,518.55,624,33696,12
2024-01-12,Retargeting_Catalog,365.5,440,23750,8
2024-01-12,AdvantagePlus_Shopping,683.03,822,44384,16
2024-01-13,Prospecting_Lookalike,621.09,699,37956,16
2024-01-13,Retargeting_Catalog,363.99,409,22244,9
2024-01-13,AdvantagePlus_Shopping,576.54,649,35233,15
2024-01-14,Prospecting_Lookalike,511.7,654,36955,14
2024-01-14,Retargeting_Catalog,345.53,442,24954,9
2024-01-14,AdvantagePlus_Shopping,496.63,635,35866,13
2024-01-15,Prospecting_Lookalike,511.76,585,30332,9
2024-01-15,Retargeting_Catalog,341.62,390,20247,6
2024-01-15,AdvantagePlus_Shopping,452.96,518,26846,8
2024-01-16,Prospecting_Lookalike,560.05,648,31190,15
2024-01-16,Retargeting_Catalog,357.16,413,19891,9
2024-01-16,AdvantagePlus_Shopping,610.15,706,33980,16
2024-01-17,Prospecting_Lookalike,394.79,456,24463,10
2024-01-17,Retargeting_Catalog,235.68,272,14603,6
2024-01-17,AdvantagePlus_Shopping,517.32,598,32055,13
2024-01-18,Prospecting_Lookalike,764.35,853,53173,20
2024-01-18,Retargeting_Catalog,586.06,654,40770,15
2024-01-18,AdvantagePlus_Shopping,641.54,716,44629,16
2024-01-19,Prospecting_Lookalike,618.06,724,44699,15
2024-01-19,Retargeting_Catalog,465.1,545,33637,11
2024-01-19,AdvantagePlus_Shopping,687.09,805,49692,17
2024-01-20,Prospecting_Lookalike,612.89,814,41890,20
2024-01-20,Retargeting_Catalog,581.93,773,39773,19
2024-01-20,AdvantagePlus_Shopping,589.98,784,40323,19
2024-01-21,Prospecting_Lookalike,450.14,518,32247,10
2024-01-21,Retargeting_Catalog,260.62,300,18671,6
2024-01-21,AdvantagePlus_Shopping,490.41,564,35132,11
2024-01-22,Prospecting_Lookalike,387.4,448,24385,7
2024-01-22,Retargeting_Catalog,332.94,385,20957,6
2024-01-22,AdvantagePlus_Shopping,659.4,763,41507,12
2024-01-23,Prospecting_Lookalike,705.24,839,48486,16
2024-01-23,Retargeting_Catalog,319.04,379,21934,7
2024-01-23,AdvantagePlus_Shopping,506.0,602,34788,12
2024-01-24,Prospecting_Lookalike,486.0,595,37528,13
2024-01-24,Retargeting_Catalog,278.9,341,21536,7
2024-01-24,AdvantagePlus_Shopping,370.54,453,28612,10
2024-01-25,Prospecting_Lookalike,466.14,557,28361,12
2024-01-25,Retargeting_Catalog,403.94,483,24577,10
2024-01-25,AdvantagePlus_Shopping,548.73,656,33386,14
2024-01-26,Prospecting_Lookalike,772.37,849,43782,18
2024-01-26,Retargeting_Catalog,378.89,416,21477,8
2024-01-26,AdvantagePlus_Shopping,852.31,937,48313,19
2024-01-27,Prospecting_Lookalike,539.47,663,43366,13
2024-01-27,Retargeting_Catalog,439.63,540,35340,10
2024-01-27,AdvantagePlus_Shopping,618.43,760,49713,15
2024-01-28,Prospecting_Lookalike,533.42,683,36030,14
2024-01-28,Retargeting_Catalog,322.02,412,21750,9
2024-01-28,AdvantagePlus_Shopping,530.69,679,35845,14
2024-01-29,Prospecting_Lookalike,369.25,466,24993,10
2024-01-29,Retargeting_Catalog,220.2,278,14904,6
2024-01-29,AdvantagePlus_Shopping,303.5,383,20543,8
2024-01-30,Prospecting_Lookalike,398.33,469,23845,10
2024-01-30,Retargeting_Catalog,377.18,444,22579,9
2024-01-30,AdvantagePlus_Shopping,621.52,732,37206,15
2024-01-31,Prospecting_Lookalike,534.43,582,31783,13
2024-01-31,Retargeting_Catalog,367.58,400,21860,9
2024-01-31,AdvantagePlus_Shopping,532.95,581,31695,13
2024-02-01,Prospecting_Lookalike,400.63,426,20475,9
2024-02-01,Retargeting_Catalog,313.7,334,16032,7
2024-02-01,AdvantagePlus_Shopping,415.94,443,21257,9
2024-02-02,Prospecting_Lookalike,476.74,543,30649,11
2024-02-02,Retargeting_Catalog,389.19,444,25020,9
2024-02-02,AdvantagePlus_Shopping,570.09,650,36650,13
